raw_content	username	tweet_published_at	type	cleaned_content	mention
@IDWantsColdplay @coldplay ALHAMDULILLAH UMUR DIPANJANGKAN HINGGA COLDPLAY KE INDONESIA JUGA AKHIRNYA, PENANTIAN LAMA TERJADI SUDAH 😭😭😭😭😭😭😭	paparazilicous	2023-05-09 09:18:40+07	replied_to	['umur', 'panjang', 'coldplay', 'indonesia', 'nanti']	['IDWantsColdplay', 'coldplay']
@ronyjrk @Frimawan Padahal coldplay ke indonesia	arzenaers	2023-05-10 07:24:03+07	replied_to	['coldplay', 'indonesia']	['ronyjrk', 'Frimawan']
"@astydewi @roshiro_ Uang bisa dicari. 
tapi Coldplay ke Indonesia hanya sekali. 

Info pinjol dan jual ginjal dibawah. 
Terimakasih 🤣🤣🤣"	anggriawwan	2023-05-10 06:43:44+07	replied_to	['uang', 'cari', 'coldplay', 'indonesia', 'info', 'pinjol', 'jual', 'ginjal', 'bawah', 'terimakasih']	['astydewi', 'roshiro_']
"@buahnanaaas Uang bisa dicari
Tapi coldplay ke Indonesia cuma sekali"	rrex_xona	2023-05-10 02:09:24+07	replied_to	['uang', 'cari', 'coldplay', 'indonesia']	['buahnanaaas']
@gisellmaf uang bisa dicari tapi coldplay ke Indonesia hanya sekali🙌  info pinjol sekian terimakasih	msyanandaa	2023-05-10 00:51:54+07	replied_to	['uang', 'cari', 'coldplay', 'indonesia', 'info', 'pinjol', 'terimakasih']	['gisellmaf']
@GOAL_ID Bodo amat. Bola tiap tahun pasti main, Coldplay belum tentu bakalan ke sini lagi. Udah belasan tahun nih nungguin Coldplay ke Indonesia baru kesampean.	Dhikalicious	2023-05-09 23:11:39+07	replied_to	['bodo', 'bola', 'main', 'coldplay', 'bas', 'nungguin', 'coldplay', 'indonesia', 'sampean']	['GOAL_ID']
Lalu lelaki satu ini @shidqihooligan alias bapaknya anak akuuu manas mansin dengan, “UANG BISA DICARI, COLDPLAY KE INDONESIA CUMA SEKALI.” 😭😭😭🥲😭🥲🥲🥲🥲😭😭😭😭	susanucan	2023-05-09 22:08:19+07	replied_to	['lelaki', 'alias', 'bapak', 'anak', 'akuuu', 'manas', 'mansin', 'uang', 'cari', 'coldplay', 'indonesia']	['shidqihooligan']
@pendakilawas rinjani bisa kapan saja coldplay ke indonesia belum tentu kapan saja	riscowahyudii	2023-05-12 19:04:01+07	replied_to	['rinjani', 'coldplay', 'indonesia']	['pendakilawas']
@PeoplePlues62 @rakasurya1806_ @GOAL_ID Satu lagi fmd kan tiap tahun ada ya, sedangkan coldplay ke Indonesia itu bisa seumur hidup sekali doang bang jadi tolong sedikit dibedain ya 🙏	nayelpotatoes	2023-05-10 16:35:28+07	replied_to	['fmd', 'coldplay', 'indonesia', 'umur', 'hidup', 'tolong', 'dibedain']	['PeoplePlues62', 'rakasurya1806_', 'GOAL_ID']
@komikazer Padahal netizen yg nge-hype Coldplay ke Indonesia kalau ditanya band favorit pasti pilihannya band anti mainstream biar dikira musikalitas nya tinggi, jarang tuh yg jawab Coldplay 😅😅	monorahab	2023-05-10 15:46:01+07	replied_to	['netizen', 'nge', 'hype', 'coldplay', 'indonesia', 'band', 'favorit', 'pilih', 'band', 'anti', 'mainstream', 'biar', 'musikalitas', 'tuh', 'coldplay']	['komikazer']
@txtdrpengusaha Anjir COLDPLAY KE INDONESIA DONG 🥹	Lalapolala__	2023-05-10 14:46:56+07	replied_to	['anjir', 'coldplay', 'indonesia']	['txtdrpengusaha']
@txtdrpengusaha Alhamdulillah doa gw di denger akhirnya Coldplay ke Indonesia 😭😭	tifaarqi	2023-05-10 14:44:19+07	replied_to	['doa', 'denger', 'coldplay', 'indonesia']	['txtdrpengusaha']
@txtdrpengusaha Anjir demi apa Coldplay ke Indonesia 🫠🫠	AdyasariReina	2023-05-10 14:42:32+07	replied_to	['anjir', 'coldplay', 'indonesia']	['txtdrpengusaha']
@txtdrpengusaha Keren emang nih akhirnya Coldplay ke Indonesia jga	ulfiabasry	2023-05-10 14:42:04+07	replied_to	['keren', 'coldplay', 'indonesia', 'jga']	['txtdrpengusaha']
@txtdrpengusaha Setelah sekian lama menunggu Coldplay ke Indonesia jg	nurfayaalfa	2023-05-10 14:41:48+07	replied_to	['tunggu', 'coldplay', 'indonesia']	['txtdrpengusaha']
"@lunarrmagic duit bisa dicari, coldplay ke indonesia cuma sekali.
info jual ginjal klik link dibawah ini :

LINK"	ilangwe	2023-05-10 13:10:13+07	replied_to	['duit', 'cari', 'coldplay', 'indonesia', 'info', 'jual', 'ginjal', 'klik', 'link', 'bawah', 'link']	['lunarrmagic']
@Maharannys uang bisa dicari tp coldplay ke Indonesia cuma sekali 🫣	pabloestafet	2023-05-10 13:08:18+07	replied_to	['uang', 'cari', 'coldplay', 'indonesia']	['Maharannys']
@gimmeursweater ijin lah koasnya ditunda aje, kapan lg coldplay ke indonesia kuliah mah bisa taun depan lagi	FallennnnS	2023-05-10 10:46:42+07	tweet	['ijin', 'koasnya', 'tunda', 'aje', 'coldplay', 'indonesia', 'kuliah', 'taun']	['gimmeursweater']
@adeliaerlina kerja bisa tiap hari lin, tapi coldplay ke Indonesia kapan lagiiii 🤣	ekoesetiawan11	2023-05-11 08:54:42+07	replied_to	['kerja', 'lin', 'coldplay', 'indonesia', 'lagiiii']	['adeliaerlina']
"Jalan jalan bisa terhenti 
Tapi @coldplay ke indonesia hanya sekali.
Info jual sertifikat tanah dibawah ini"	Sego_karak13	2023-05-11 06:16:31+07	tweet	['jalan', 'jalan', 'henti', 'indonesia', 'info', 'jual', 'sertifikat', 'tanah', 'bawah']	['coldplay']
@kixtchen duit bisa dicari, tapi Coldplay ke Indonesia cuma sekali. letsgoo!!	adammmsan	2023-05-11 05:59:09+07	replied_to	['duit', 'cari', 'coldplay', 'indonesia', 'letsgoo']	['kixtchen']
"@cisiasf hari rabu datang tiap minggu tapi coldplay ke Indonesia cuma sekali 🙏🙏

*koreksi kata kata nya biar ky di tiktok"	iamshrkhd	2023-05-11 04:18:41+07	replied_to	['coldplay', 'indonesia', 'koreksi', 'biar', 'ky', 'tiktok']	['cisiasf']
@kazenoshippo @txtfrombrand duit bisa dicari anying, coldplay cuma sekali ini doang, besok besok gw kaya raya tapi gatau kapan lagi coldplay ke indonesia	Thesinnerishere	2023-05-10 23:28:15+07	replied_to	['duit', 'cari', 'anying', 'coldplay', 'besok', 'besok', 'kaya', 'raya', 'gatau', 'coldplay', 'indonesia']	['kazenoshippo', 'txtfrombrand']
"@Indomieaceh4 Uang bisa dicari, coldplay ke Indonesia cuma sekali
Yuk gadaikan ktpmu"	dimasadan_	2023-05-10 23:08:39+07	replied_to	['uang', 'cari', 'coldplay', 'indonesia', 'yuk', 'gadai', 'ktpmu']	['Indomieaceh4']
@ssefnum pusing mikirin kalau coldplay ke indonesia terus indonesia kemana?	masihnooob	2023-05-10 22:11:35+07	replied_to	['pusing', 'mikirin', 'coldplay', 'indonesia', 'indonesia', 'mana']	['ssefnum']
@MafiaWasit Memang kapan Coldplay ke Indonesia sebelum skrg? Kalau Fifa Matchday sih sering yaa...	JoeArifiando92	2023-05-10 21:47:28+07	replied_to	['coldplay', 'indonesia', 'skrg', 'fifa', 'matchday']	['MafiaWasit']
@syahiraa27 makan bisa di kurangi, tapi coldplay ke indonesia cuman sekali 😂	hkml07_	2023-05-11 13:26:32+07	replied_to	['makan', 'kurang', 'coldplay', 'indonesia', 'cuman']	['syahiraa27']
@rickjaa_ uang bisa dicari, coldplay ke indonesia kapan lagi 🤪	babeyaga_	2023-05-12 07:07:23+07	tweet	['uang', 'cari', 'coldplay', 'indonesia']	['rickjaa_']
"Uang bisa dicari tapi @coldplay ke Indonesia hanya sekali. 
Angkat KTPmu kawan …"	rizaldiabdilah	2023-05-12 05:46:52+07	tweet	['uang', 'cari', 'indonesia', 'angkat', 'ktpmu', 'kawan']	['coldplay']
@radenrauf UANG BISA DICARI TAPI COLDPLAY KE INDONESIA HANYA SEKALI	marcellinaape	2023-05-12 02:37:56+07	tweet	['uang', 'cari', 'coldplay', 'indonesia']	['radenrauf']
@bctpsj uang bisa dicari lagi, tp coldplay ke indonesia belum tentu 10 taun sekali	xamperinn	2023-05-12 18:34:27+07	replied_to	['uang', 'cari', 'coldplay', 'indonesia', 'taun']	['bctpsj']
@pendakilawas Coldplay. Rinjani gk kemana” tetep ada di Indonesia kan, klo coldplay ke Indonesia kapan lagi 🥹	jezziejel	2023-05-12 17:20:31+07	replied_to	['coldplay', 'rinjani', 'mana', 'tetep', 'indonesia', 'coldplay', 'indonesia']	['pendakilawas']
@pendakilawas Rinjani ga akan kemana2, tapi coldplay ke Indonesia belum tentu 2 kali	sungoldhin	2023-05-12 16:53:59+07	replied_to	['rinjani', 'mana', 'coldplay', 'indonesia']	['pendakilawas']
@gadisoengoe @coldplay Sat set sat set 🤪	arifnrokhman	2023-05-04 00:07:27+07	replied_to	['sat', 'set', 'sat', 'set']	['gadisoengoe', 'coldplay']
@pendakilawas Uang bisa dicari, coldplay ke indonesia cuman sekali 🗿	rhxans	2023-05-12 15:21:30+07	replied_to	['uang', 'cari', 'coldplay', 'indonesia', 'cuman']	['pendakilawas']
@brookllyne tidak ada yang tidak mungkin di dunia ini. Coldplay ke Indonesia saja awalnya ketidakmungkinan.	malkaleegra	2023-05-12 14:47:47+07	replied_to	['dunia', 'coldplay', 'indonesia', 'ketidakmungkinan']	['brookllyne']
@6737RIEEE @dianoaxl @FikriMunafi @idextratime @ganjarpranowo pak @ganjarpranowo tolong jangan biarkan @coldplay ke indonesia. mereka ini atheis dan lgbt, sangat bertentangan dengan pancasila 🇮🇩❤️	miloknight77	2023-05-13 08:10:19+07	tweet	['tolong', 'biar', 'indonesia', 'atheis', 'lgbt', 'tentang', 'pancasila']	['6737RIEEE', 'dianoaxl', 'FikriMunafi', 'idextratime', 'ganjarpranowo', 'ganjarpranowo', 'coldplay']
@kegblgnunfaedh gass, kapan lagi coldplay ke indonesia	herdiansyh__	2023-05-12 12:43:16+07	replied_to	['gass', 'coldplay', 'indonesia']	['kegblgnunfaedh']
@worksfess Mending kayak tadi tuh siapa ya lupa, pokoknya kantornya libur Selasa-Rabu atau Rabu-Kamis pas Coldplay ke Indonesia. Terus ganti hari Sabtu-Minggu yang masuk.	inasmfdti	2023-05-12 11:32:16+07	replied_to	['mending', 'kayak', 'tuh', 'lupa', 'pokok', 'kantor', 'libur', 'coldplay', 'indonesia', 'ganti', 'masuk']	['worksfess']
@aazisamin Pinjol bisa dilunasi, Coldplay ke Indonesia mungkin cuma sekali.	Styopebri	2023-05-12 11:30:19+07	replied_to	['pinjol', 'lunas', 'coldplay', 'indonesia']	['aazisamin']
@fadrimerdianto Duit bisa dicari, tapi coldplay ke Indonesia cuma sekali. KTP dan pinjol diciptakan bukan tanpa alasan.	aridwan05	2023-05-12 10:15:49+07	replied_to	['duit', 'cari', 'coldplay', 'indonesia', 'ktp', 'pinjol', 'cipta', 'alas']	['fadrimerdianto']
@worksfess Mending resign ga si? Kapan lagi Coldplay ke Indonesia *kata yg udh book tiket 11jt	abangudinn_	2023-05-13 01:44:40+07	replied_to	['mending', 'resign', 'coldplay', 'indonesia', 'book', 'tiket', 'jt']	['worksfess']
Jangankan dari album parachutes, dari Mylo xyloto, ghost stories, ahfod tour semuaaaa ga ada yg bisa buat coldplay ke Indonesia dan cita-cita proposal promotor ku ini tercapai oleh @PK_ent_id @TEMGMT TEAM😭😭, dan  range harga yg gua buat di tahun 2017 paling murah masih sama!! https://t.co/aRrDimCWhQ	lauvyoubeb	2023-05-12 22:48:52+07	replied_to	['album', 'parachutes', 'mylo', 'xyloto', 'ghost', 'stories', 'ahfod', 'tour', 'semuaaaa', 'coldplay', 'indonesia', 'cita', 'cita', 'proposal', 'promotor', 'ku', 'capai', 'team', 'range', 'harga', 'murah']	['PK_ent_id', 'TEMGMT']
@TxtdariHI Loh bukannya yg mereka dukung dulu malah yg bawa coldplay ke Indonesia? Loh heh loh heh	ahmadfaiqfkhr	2023-05-12 21:39:34+07	replied_to	['loh', 'dukung', 'bawa', 'coldplay', 'indonesia', 'loh', 'heh', 'loh', 'heh']	['TxtdariHI']
"@idextratime Lho lho lho, Coldplay bahaya cok.

Takutnya mereka bawa BOM, Laranng Coldplay ke Indonesia ❗❗❗"	Slurrpee2	2023-05-13 18:41:26+07	replied_to	['lho', 'lho', 'lho', 'coldplay', 'bahaya', 'takut', 'bawa', 'bom', 'laranng', 'coldplay', 'indonesia']	['idextratime']
@0GEKKK liat di yutub aja coldplay live concert in jakarta	thehot_man	2023-05-03 18:05:44+07	replied_to	['liat', 'yutub', 'coldplay', 'live', 'concert', 'jakarta']	['0GEKKK']
@kegblgnunfaedh Coldplay ke Indonesia juga cuman buat konser doang, bukan yang aneh... Sok suci banget anjir 😌	Tari_Sun_Flower	2023-05-14 19:44:50+07	replied_to	['coldplay', 'indonesia', 'cuman', 'konser', 'aneh', 'sok', 'suci', 'anjir']	['kegblgnunfaedh']
"@ikanatassa Prinsipnya kalo emang ada duit walaupun dia bukan fans coldplay tapi mau nonton ....

YA NONTON LAH ANJIR KAPANPAGI COLDPLAY KE INDONESIA"	boombongie	2023-05-14 17:21:14+07	replied_to	['prinsip', 'kalo', 'duit', 'fans', 'coldplay', 'nonton', 'nonton', 'anjir', 'kapanpagi', 'coldplay', 'indonesia']	['ikanatassa']
@Percumha yuk coldplay kak	kikir	2023-05-09 05:56:25+07	replied_to	['yuk', 'coldplay']	['Percumha']
"@detikcom Ya kapan lagi yakan Coldplay ke Indonesia😭 darpd dlu paling deket Sgp, aku yg anak daerah menanges😭 skrg gapapa min bela2in ke Jkt&amp; ngemper di Stasiun. Yg ptg bisa dgerin langsung A Sky Full of Stars sm Everglow
Pliss😭😭😭"	pink_ranger05	2023-05-14 11:33:00+07	replied_to	['yakan', 'coldplay', 'indonesia', 'darpd', 'dlu', 'deket', 'sgp', 'anak', 'daerah', 'menanges', 'skrg', 'gapapa', 'min', 'bela', 'jkt', 'amp', 'ngemper', 'stasiun', 'ptg', 'dgerin', 'langsung', 'a', 'sky', 'full', 'of', 'stars', 'sm', 'everglow', 'pliss']	['detikcom']
@kegblgnunfaedh apa hubungan nya dukung lgbt sama konser? Coldplay ke Indonesia nyanyi woy bukan Berdakwah, aneh parah kalo nyari mukak	rafirsin	2023-05-15 04:40:21+07	replied_to	['hubung', 'dukung', 'lgbt', 'konser', 'coldplay', 'indonesia', 'nyanyi', 'woy', 'dakwah', 'aneh', 'parah', 'kalo', 'nyari', 'mukak']	['kegblgnunfaedh']
@Poconggg “Kapan lg coldplay ke indonesia”	kitoorah	2023-05-14 22:00:52+07	replied_to	['coldplay', 'indonesia']	['Poconggg']
@kegblgnunfaedh selama gak ada simbol2 dan yang mengarah kesana, biasa aja. mereka juga datang harusnya sudah tau kultur kita, klo merek menantang, baru kerterlaluan. klo gak ada, ya nikmatin aja coldplay ke indonesia	Yudiansyahjr	2023-05-15 20:49:22+07	replied_to	['simbol', 'arah', 'kesana', 'tau', 'kultur', 'merek', 'tantang', 'kerterlaluan', 'nikmatin', 'coldplay', 'indonesia']	['kegblgnunfaedh']
@tvOneNews Udah lama2 nunggu coldplay ke Indonesia, malah pas ke Indonesia dia tolak sama fans madrid. Chuaks	Ravico27	2023-05-15 10:03:16+07	replied_to	['nunggu', 'coldplay', 'indonesia', 'indonesia', 'tolak', 'fans', 'madrid', 'chuaks']	['tvOneNews']
@LurahEliite @ybaindonesia Ahahaha kalau tau nnti diajak ngepung bandara pas COLDPLAY ke Indonesia	wish_14	2023-05-15 18:05:27+07	replied_to	['ahahaha', 'tau', 'nnti', 'ajak', 'ngepung', 'bandara', 'coldplay', 'indonesia']	['LurahEliite', 'ybaindonesia']
@txtdrpemerintah Kepung bandara, untuk menyambut kedatangan Coldplay ke Indonesia. Sambil bersama-sama menyanyikan FIX YOU	rois_arbisaid	2023-05-15 11:29:07+07	replied_to	['kepung', 'bandara', 'sambut', 'datang', 'coldplay', 'indonesia', 'nyanyi', 'fix']	['txtdrpemerintah']
"@tanyarlfes Gak masalah beli tiket pakai pinjol. Utang bisa dibayar kapan2. Coldplay ke Indonesia kapan lagi ?
🗿"	remahan_peyeek	2023-05-16 03:56:52+07	replied_to	['beli', 'tiket', 'pakai', 'pinjol', 'utang', 'bayar', 'coldplay', 'indonesia']	['tanyarlfes']
"""Kan Coldplay Ke Indonesia mau konser bukan mau kampanye LGBT,kalopun emang bener dukung LGBT dan Atheis ya itu urusan pribadi mereka,"" cuit @m********.

#Coldplay #ColdplayinJakarta2023 #PA212 #LGBT #Jakarta #konser #viral https://t.co/PqYOkDyOYY"	Portal_PWT	2023-05-15 21:15:59+07	tweet	['coldplay', 'indonesia', 'konser', 'kampanye', 'lgbt', 'bener', 'dukung', 'lgbt', 'atheis', 'urus', 'pribadi', 'cuit', 'coldplay', 'coldplayinjakarta', 'pa', 'lgbt', 'jakarta', 'konser', 'viral']	['m']
@AngelMoonBR @coldplay @alienradiofm Kkkkjkkkjkk	henrique_hertz	2023-05-02 05:02:11+07	replied_to	['kkkkjkkkjkk']	['AngelMoonBR', 'coldplay', 'alienradiofm']
"@sosmedkeras Kulkas motor biss beli lagi, coldplay ke Indonesia kapan lagi??? 
tapi ga harus yg 11 juta lah 😭😭😭"	sheeshjade_	2023-05-16 19:18:48+07	replied_to	['kulkas', 'motor', 'biss', 'beli', 'coldplay', 'indonesia', 'juta']	['sosmedkeras']
@sosmedkeras semangat bro. uang bisa dicari, coldplay ke indonesia kapan lagi? urusan nanti gimana? ya gimana nanti haha	egilalohhh	2023-05-16 17:32:25+07	replied_to	['semangat', 'bro', 'uang', 'cari', 'coldplay', 'indonesia', 'urus', 'gimana', 'gimana', 'haha']	['sosmedkeras']
@sosmedkeras Uang bisa dicari, coldplay ke Indonesia kapan lagi	ASummerTruffle	2023-05-16 17:00:57+07	replied_to	['uang', 'cari', 'coldplay', 'indonesia']	['sosmedkeras']
"@sosmedkeras Kulkas dan motor bisa beli lagi
Coldplay ke Indonesia cuma sekali 😎"	oturanad	2023-05-16 16:17:04+07	replied_to	['kulkas', 'motor', 'beli', 'coldplay', 'indonesia']	['sosmedkeras']
"@racunincenter @eIegantc @sosmedkeras Prinsip nya gini ""kulkas dan motor masih bisa dicuri, tapi coldplay ke indonesia hanya sekali"""	zuzumbabi	2023-05-16 15:55:17+07	replied_to	['prinsip', 'gin', 'kulkas', 'motor', 'curi', 'coldplay', 'indonesia']	['racunincenter', 'eIegantc', 'sosmedkeras']
"@dikkdikkk @sosmedkeras ""kulkas dan motor masih bisa dicuri, tapi coldplay ke indonesia hanya sekali"""	zuzumbabi	2023-05-16 15:54:27+07	tweet	['kulkas', 'motor', 'curi', 'coldplay', 'indonesia']	['dikkdikkk', 'sosmedkeras']
"@sosmedkeras ""kulkas dan motor masih bisa dicuri, tapi coldplay ke indonesia hanya sekali"""	zuzumbabi	2023-05-16 15:54:06+07	replied_to	['kulkas', 'motor', 'curi', 'coldplay', 'indonesia']	['sosmedkeras']
saham @BankBCA harusnya melambung nih udah bisa bawa @coldplay ke indonesia 😊	ardhnsyah	2023-05-16 15:24:50+07	tweet	['saham', 'lambung', 'bawa', 'indonesia']	['BankBCA', 'coldplay']
@txtdrpengusaha Anjay Coldplay ke Indonesia dong siap siap ges	ulfiabasry	2023-05-16 11:19:31+07	replied_to	['anjay', 'coldplay', 'indonesia', 'ges']	['txtdrpengusaha']
"@tanyarlfes ""Coldplay ke Indonesia tuh sekali seumur hidup, daripada nyesel!"" Oke..."	doubleFnyadua	2023-05-16 09:15:28+07	replied_to	['coldplay', 'indonesia', 'tuh', 'umur', 'hidup', 'nyesel']	['tanyarlfes']
@Sro19963 @IDNTimes Maaf coldplay ke indonesia mau konser .bukan nyaleg 🗿	Darihat41109139	2023-05-17 08:13:48+07	replied_to	['maaf', 'coldplay', 'indonesia', 'konser', 'nyaleg']	['Sro19963', 'IDNTimes']
@Maliaaa____ @Heri_Horeh jgn lupa juga, cuma di era ini busa datangkan coldplay ke Indonesia.	loserbii	2023-05-16 23:13:38+07	replied_to	['jgn', 'lupa', 'era', 'busa', 'datang', 'coldplay', 'indonesia']	['Maliaaa____', 'Heri_Horeh']
"@psi_id @coldplay @adearmando61 Coldplay ke Indonesia bukan Mau kampanye Soal LGBT , Bukan Mau Kampanye soal Atheis , Coldplay mau ke Indonesia mau nyanyi , mempersembahkan pertunjukan Karya nya. 
Aneh aneh aneh. 🤌🤌🤌🤌"	AzazelRich	2023-05-16 21:17:05+07	replied_to	['coldplay', 'indonesia', 'kampanye', 'lgbt', 'kampanye', 'atheis', 'coldplay', 'indonesia', 'nyanyi', 'sembah', 'tunjuk', 'karya', 'aneh', 'aneh', 'aneh']	['psi_id', 'coldplay', 'adearmando61']
"Baru say hi sama Chris Martin aja, yang nonton ikut deg-degan. Jadi enggak sabar nungguin Coldplay ke Indonesia.

Tungguin yah Mata Najwa “Exclusive Interview with Chris Martin of Coldplay” di YouTube Najwa Shihab dan website https://t.co/pFOrT6gsF8

@aiaindonesia

| Mata Najwa https://t.co/3ziXDALkgF"	NarasiNewsroom	2023-05-16 22:44:34+07	tweet	['say', 'hi', 'chris', 'martin', 'nonton', 'sabar', 'nungguin', 'coldplay', 'indonesia', 'tungguin', 'yah', 'mata', 'najwa', 'exclusive', 'interview', 'with', 'chris', 'martin', 'of', 'coldplay', 'youtube', 'najwa', 'shihab', 'website', 'mata', 'najwa']	['aiaindonesia']
@sosmedkeras Kulkas dan motor bisa di beli lagi tapi coldplay ke Indonesia kapan lagi	jajange666	2023-05-16 22:00:18+07	replied_to	['kulkas', 'motor', 'beli', 'coldplay', 'indonesia']	['sosmedkeras']
@dinhihope EMANG KENAPA? GASUKA? INI FIRST TIME COLDPLAY KE INDONESIA KALO LO GATAU!! DAN INI GRUP BAND LEGEND😡😡 —Ucap ngabers kalo ada yg ngedefend😎	rubychulisie	2023-05-16 21:50:31+07	tweet	['gasuka', 'first', 'time', 'coldplay', 'indonesia', 'kalo', 'gatau', 'grup', 'band', 'legend', 'ngabers', 'kalo', 'ngedefend']	['dinhihope']
"@sosmedkeras bener2 definisi ""uang bisa dicari, tapi coldplay ke indonesia hanya sekali"" 😭👍🏻"	cheezzzieu	2023-05-16 21:40:32+07	replied_to	['bener', 'definisi', 'uang', 'cari', 'coldplay', 'indonesia']	['sosmedkeras']
"@efenerr Tempo hari menuliskan betapa senangnya aku begitu tau AKHIRNYA! Coldplay ke Indonesia. Ingat banget jaman2 di kantor deg2an pas dengar desas desus akan konser di Indonesia. Ternyata PHP. Alhamdulillah kesampaian nonton pas sdh pindah.

Makanya,tau betul betapa berharga konser ini"	Denald	2023-05-17 20:29:01+07	replied_to	['tempo', 'tulis', 'betapa', 'senang', 'tau', 'coldplay', 'indonesia', 'jaman', 'kantor', 'an', 'dengar', 'desas', 'desus', 'konser', 'indonesia', 'php', 'nonton', 'sdh', 'pindah', 'tau', 'betapa', 'harga', 'konser']	['efenerr']
@malameze Tolak coldplay ke indonesia, lgbt itu harooommm. TAKBEER 🍺	BernardNabban14	2023-05-17 14:50:18+07	replied_to	['tolak', 'coldplay', 'indonesia', 'lgbt', 'harooommm', 'takbeer']	['malameze']
@Metro_TV @coldplay kok ga di JIS ?	deBUGsy	2023-05-09 05:07:17+07	replied_to	['jis']	['Metro_TV', 'coldplay']
"@tanyarlfes Heran bgt sama orang orang fomo yang buat bertahan hidup aja udah ngap-ngapan tapi nekat pinjol demi ""Coldplay ke Indonesia cuma sekali"" trs nanti kalau gak bisa bayar pinjol ngerengek 🙃"	yutatangsel	2023-05-17 13:15:11+07	replied_to	['heran', 'orang', 'orang', 'fomo', 'tahan', 'hidup', 'ngap', 'ngapan', 'nekat', 'pinjol', 'coldplay', 'indonesia', 'trs', 'bayar', 'pinjol', 'ngerengek']	['tanyarlfes']
